project,street,type,district,segment,tenure,commence,sale,price,area,level,date
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 years,2021.0,New Sale,1717000,742.72,01 to 05,Mar-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 years,2018.0,New Sale,1117000,904.18,01 to 05,Mar-21
THE ARTE,JALAN RAJA UDANG,Condominium,12,RCR,freehold,,Resale,2310000,1528.49,21 to 25,Mar-21
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,765000,495.14,06 to 10,Mar-21
HILLSIDE MANSIONS,HILLSIDE DRIVE,Apartment,19,OCR,freehold,,Resale,1360000,1194.8,01 to 05,Mar-21
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,Apartment,13,RCR,99 years,2017.0,New Sale,1903000,958.0,01 to 05,Mar-21
THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 years,2010.0,Resale,2450000,1668.42,06 to 10,Mar-21
VISTA RESIDENCES,JALAN DATOH,Condominium,12,RCR,freehold,,Resale,1965000,1313.21,16 to 20,Mar-21
MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 years,1982.0,Resale,1950000,2023.63,01 to 05,Mar-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,New Sale,4611960,1506.96,36 to 40,Mar-21
WALLICH RESIDENCE,WALLICH STREET,Apartment,2,CCR,99 years,2011.0,Resale,3600000,1097.93,46 to 50,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1496000,527.44,16 to 20,Mar-21
VERSILIA ON HAIG,IPOH LANE,Condominium,15,RCR,freehold,,Resale,1800000,1130.22,11 to 15,Mar-21
CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,Apartment,9,CCR,freehold,,Resale,2620000,1173.28,11 to 15,Mar-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,1450000,581.26,06 to 10,Mar-21
FORETT AT BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,New Sale,1258000,602.78,06 to 10,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1633000,570.49,21 to 25,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1801000,764.24,06 to 10,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1817000,764.24,06 to 10,Mar-21
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,New Sale,1310000,764.24,01 to 05,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1350825,775.01,16 to 20,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1357800,775.01,21 to 25,Mar-21
RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 years,1997.0,Resale,860000,1205.57,11 to 15,Mar-21
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,6550000,2088.22,21 to 25,Mar-21
THE CALROSE,YIO CHU KANG ROAD,Condominium,26,OCR,freehold,,Resale,1350000,1011.82,01 to 05,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1051029,581.26,06 to 10,Mar-21
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,New Sale,2371000,1582.31,06 to 10,Mar-21
THE LINE @ TANJONG RHU,TANJONG RHU ROAD,Condominium,15,RCR,freehold,,Resale,2521000,1184.04,11 to 15,Mar-21
ZENITH,ZION ROAD,Apartment,10,CCR,other,1877.0,Resale,1680000,1130.22,11 to 15,Mar-21
GEMINI APARTMENTS,JALAN TUA KONG,Apartment,15,OCR,freehold,,Resale,1510000,1270.15,01 to 05,Mar-21
FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 years,1982.0,Resale,975000,1151.75,01 to 05,Mar-21
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1170000,1323.97,01 to 05,Mar-21
WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 years,2009.0,Resale,1680000,1259.39,01 to 05,Mar-21
VIVA,SUFFOLK WALK,Condominium,11,CCR,freehold,,Resale,2850000,1345.5,06 to 10,Mar-21
MIDWOOD,HILLVIEW RISE,Condominium,23,OCR,99 years,2018.0,New Sale,910000,548.96,06 to 10,Mar-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,2563000,1668.42,16 to 20,Mar-21
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,New Sale,1071000,635.08,11 to 15,Mar-21
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,New Sale,824000,484.38,11 to 15,Mar-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,2204000,1291.68,11 to 15,Mar-21
KIM SIA COURT,JALAN JINTAN,Apartment,9,CCR,freehold,,Resale,2780000,1420.85,01 to 05,Mar-21
THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years,2012.0,Resale,1680000,1291.68,06 to 10,Mar-21
KOVAN GRANDEUR,TAMPINES ROAD,Apartment,19,OCR,99 years,2010.0,Resale,810000,914.94,01 to 05,Mar-21
BEDOK RESIDENCES,BEDOK NORTH DRIVE,Apartment,16,OCR,99 years,2011.0,Resale,1620000,1076.4,06 to 10,Mar-21
KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 years,2007.0,Resale,1320000,947.23,06 to 10,Mar-21
AIRSTREAM,ST. MICHAEL'S ROAD,Apartment,12,RCR,freehold,,Resale,650000,495.14,01 to 05,Mar-21
TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 years,1994.0,Resale,1020000,710.42,01 to 05,Mar-21
SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,2083000,2680.24,06 to 10,Mar-21
THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 years,1997.0,Resale,1500000,1205.57,11 to 15,Mar-21
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 years,1991.0,Resale,908000,1248.62,01 to 05,Mar-21
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 years,2002.0,Resale,1920000,882.65,11 to 15,Mar-21
CASAFINA,BEDOK SOUTH AVENUE 1,Condominium,16,OCR,99 years,1996.0,Resale,1170000,1237.86,01 to 05,Mar-21
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,1140000,731.95,01 to 05,Mar-21
GUILLEMARD EDGE,LORONG 30 GEYLANG,Apartment,14,RCR,freehold,,Resale,800000,559.73,06 to 10,Mar-21
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 years,1995.0,Resale,1320000,796.54,06 to 10,Mar-21
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,1150000,936.47,11 to 15,Mar-21
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,Condominium,23,OCR,other,1882.0,Resale,2080000,1657.66,06 to 10,Mar-21
FLORIDIAN,BUKIT TIMAH ROAD,Condominium,21,RCR,freehold,,Resale,3200000,1657.66,06 to 10,Mar-21
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 years,2008.0,Resale,1610000,1119.46,01 to 05,Mar-21
COSTA DEL SOL,BAYSHORE ROAD,Condominium,16,OCR,99 years,1997.0,Resale,1860000,1345.5,21 to 25,Mar-21
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1105000,1227.1,06 to 10,Mar-21
WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 years,2009.0,Resale,1372800,882.65,16 to 20,Mar-21
KENSINGTON PARK CONDOMINIUM,KENSINGTON PARK DRIVE,Condominium,19,OCR,other,1878.0,Resale,1800000,1657.66,16 to 20,Mar-21
CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 years,2007.0,Resale,1420000,1001.05,16 to 20,Mar-21
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1070000,1227.1,06 to 10,Mar-21
PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,1,RCR,99 years,1968.0,Resale,900688,1119.46,06 to 10,Mar-21
# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,freehold,,Resale,673000,592.02,06 to 10,Mar-21
SEASONS PARK,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1995.0,Resale,1190000,1248.62,06 to 10,Mar-21
SUMMER GREEN,BOON TECK ROAD,Apartment,12,RCR,freehold,,Resale,1350000,1291.68,01 to 05,Mar-21
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,830000,753.48,16 to 20,Mar-21
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1950000,1205.57,06 to 10,Mar-21
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,795000,592.02,16 to 20,Mar-21
WATER PLACE,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1998.0,Resale,1700000,1463.9,01 to 05,Mar-21
TANAMERA CREST,PARI DEDAP WALK,Condominium,16,OCR,99 years,2000.0,Resale,790000,861.12,06 to 10,Mar-21
THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 years,1996.0,Resale,1128000,1205.57,01 to 05,Mar-21
DUO RESIDENCES,FRASER STREET,Apartment,7,CCR,99 years,2011.0,Resale,2070000,1011.82,26 to 30,Mar-21
LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1210000,1323.97,11 to 15,Mar-21
SERENITY PARK,TAMARIND ROAD,Condominium,28,OCR,freehold,,Resale,1230000,1323.97,01 to 05,Mar-21
CASHEW PARK CONDOMINIUM,CASHEW ROAD,Condominium,23,OCR,other,1882.0,Resale,1455000,1367.03,01 to 05,Mar-21
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,918000,882.65,06 to 10,Mar-21
RIVIERA RESIDENCES,RIVIERA DRIVE,Condominium,16,OCR,freehold,,Resale,1140000,785.77,01 to 05,Mar-21
BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2011.0,Resale,986888,1001.05,01 to 05,Mar-21
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,1133000,818.06,16 to 20,Mar-21
SIMSVILLE,GEYLANG EAST AVENUE 2,Condominium,14,RCR,99 years,1994.0,Resale,1010000,968.76,06 to 10,Mar-21
ST MICHAEL'S PLACE,JALAN TAMAN,Apartment,12,RCR,freehold,,Resale,1380000,1259.39,06 to 10,Mar-21
BERKELEY RESIDENCES,LORONG N TELOK KURAU,Apartment,15,OCR,freehold,,Resale,1220000,764.24,01 to 05,Mar-21
TIERRA VUE,ST. PATRICK'S ROAD,Condominium,15,OCR,freehold,,Resale,2260000,1248.62,01 to 05,Mar-21
DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 years,2008.0,Resale,1620000,1377.79,11 to 15,Mar-21
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,2350000,1711.48,11 to 15,Mar-21
ONE DUSUN RESIDENCES,JALAN DUSUN,Apartment,12,RCR,freehold,,Resale,1030000,656.6,11 to 15,Mar-21
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 years,2019.0,New Sale,1170000,430.56,31 to 35,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,2187000,1173.28,06 to 10,Mar-21
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,1510000,925.7,11 to 15,Mar-21
CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 years,2011.0,Resale,586000,419.8,01 to 05,Mar-21
MEYERHOUSE,MEYER ROAD,Condominium,15,RCR,freehold,,New Sale,7258000,2895.52,01 to 05,Mar-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,New Sale,1296000,914.94,06 to 10,Mar-21
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,freehold,,New Sale,3243000,1162.51,06 to 10,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,2228000,1194.8,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1128000,462.85,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1140000,462.85,16 to 20,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1731780,699.66,11 to 15,Mar-21
RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,freehold,,Resale,810000,419.8,01 to 05,Mar-21
REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 years,1996.0,Resale,811000,1076.4,11 to 15,Mar-21
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,1488888,1528.49,21 to 25,Mar-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,New Sale,1086000,505.91,31 to 35,Mar-21
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,New Sale,1335000,656.6,36 to 40,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,1464000,861.12,01 to 05,Mar-21
THE TESSARINA,WILBY ROAD,Condominium,10,CCR,freehold,,Resale,2580000,1313.21,01 to 05,Mar-21
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,920000,979.52,16 to 20,Mar-21
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,1495000,958.0,11 to 15,Mar-21
THE VERVE,JALAN RAJAH,Apartment,12,RCR,freehold,,Resale,1050000,818.06,16 to 20,Mar-21
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,New Sale,1437480,904.18,01 to 05,Mar-21
VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 years,1995.0,Resale,1530000,1711.48,01 to 05,Mar-21
THE URBANITE,HERTFORD ROAD,Apartment,8,RCR,freehold,,Resale,700000,484.38,01 to 05,Mar-21
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,New Sale,5185120,2002.1,01 to 05,Mar-21
VERSILIA ON HAIG,IPOH LANE,Condominium,15,RCR,freehold,,Resale,3138888,2292.73,16 to 20,Mar-21
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1525000,1044.11,11 to 15,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1552000,602.78,11 to 15,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1578000,602.78,16 to 20,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1586000,602.78,16 to 20,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1592000,602.78,16 to 20,Mar-21
FORETT AT BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,New Sale,1976000,1119.46,01 to 05,Mar-21
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,1820000,710.42,06 to 10,Mar-21
THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 years,2012.0,Resale,1168000,731.95,11 to 15,Mar-21
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,New Sale,1270912,914.94,11 to 15,Mar-21
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,New Sale,997000,731.95,16 to 20,Mar-21
COSTA RHU,RHU CROSS,Condominium,15,RCR,99 years,1994.0,Resale,3288000,2088.22,01 to 05,Mar-21
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,New Sale,1894100,1194.8,01 to 05,Mar-21
VIDA,PECK HAY ROAD,Apartment,9,CCR,freehold,,Resale,1735000,861.12,06 to 10,Mar-21
SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 years,1996.0,Resale,1360000,1140.98,11 to 15,Mar-21
MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 years,1982.0,Resale,925000,731.95,21 to 25,Mar-21
REGENT GROVE,CHOA CHU KANG NORTH 7,Condominium,23,OCR,99 years,1997.0,Resale,708000,925.7,06 to 10,Mar-21
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,Condominium,23,OCR,99 years,1995.0,Resale,795000,1022.58,26 to 30,Mar-21
SUMMERHILL,HUME AVENUE,Condominium,21,OCR,freehold,,Resale,2280000,1603.84,01 to 05,Mar-21
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,New Sale,1973644,1485.43,06 to 10,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1160919,656.6,06 to 10,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1205595,656.6,21 to 25,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1238619,667.37,21 to 25,Mar-21
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,1053000,839.59,11 to 15,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1151172,645.84,16 to 20,Mar-21
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,New Sale,1389000,678.13,01 to 05,Mar-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 years,2018.0,New Sale,1095000,484.38,01 to 05,Mar-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,2628000,1496.2,16 to 20,Mar-21
RIVER PLACE,HAVELOCK ROAD,Condominium,3,RCR,99 years,1995.0,Resale,1600000,1259.39,06 to 10,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1194597,667.37,16 to 20,Mar-21
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,950000,753.48,11 to 15,Mar-21
LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1140000,1259.39,11 to 15,Mar-21
Q BAY RESIDENCES,TAMPINES STREET 86,Condominium,18,OCR,99 years,2012.0,Resale,1438888,1410.08,01 to 05,Mar-21
WATERFRONT KEY,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2007.0,Resale,1650000,1442.38,01 to 05,Mar-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 years,2018.0,New Sale,1548000,688.9,01 to 05,Mar-21
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,freehold,,Resale,1780000,1044.11,06 to 10,Mar-21
BAYWATER,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2001.0,Resale,1650000,1528.49,11 to 15,Mar-21
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,New Sale,892000,527.44,11 to 15,Mar-21
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,600000,592.02,01 to 05,Mar-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,1203000,688.9,16 to 20,Mar-21
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,New Sale,1652000,925.7,06 to 10,Mar-21
THE CASCADIA,BUKIT TIMAH ROAD,Condominium,21,RCR,freehold,,Resale,1480000,882.65,01 to 05,Mar-21
GRANDVIEW SUITES,LORONG 22 GEYLANG,Apartment,14,RCR,freehold,,Resale,500000,355.21,01 to 05,Mar-21
THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,1565000,1011.82,16 to 20,Mar-21
SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2011.0,Resale,930000,710.42,16 to 20,Mar-21
THE AZURE,OCEAN DRIVE,Condominium,4,CCR,99 years,2005.0,Resale,4200000,3164.62,06 to 10,Mar-21
GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 years,1996.0,Resale,935000,1259.39,06 to 10,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1760000,1313.21,06 to 10,Mar-21
GUILLEMARD VIEW,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,Resale,1118800,1184.04,01 to 05,Mar-21
PAVILION SQUARE,GEYLANG ROAD,Apartment,14,RCR,freehold,,Resale,520000,398.27,01 to 05,Mar-21
RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 years,2011.0,Resale,900000,850.36,06 to 10,Mar-21
THE RICHMOND,ST. MICHAEL'S ROAD,Apartment,12,RCR,freehold,,Resale,1380000,1237.86,01 to 05,Mar-21
HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 years,2010.0,Resale,750000,764.24,06 to 10,Mar-21
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 years,1991.0,Resale,860000,1248.62,01 to 05,Mar-21
LAKESIDE APARTMENTS,YUAN CHING ROAD,Apartment,22,OCR,99 years,1977.0,Resale,1165000,1517.72,01 to 05,Mar-21
THE INSPIRA,ARNASALAM CHETTY ROAD,Condominium,9,CCR,freehold,,Resale,1880000,936.47,06 to 10,Mar-21
PARKSHORE,TANJONG RHU ROAD,Condominium,15,RCR,freehold,,Resale,2510000,1636.13,06 to 10,Mar-21
ASTON MANSIONS,LORONG 42 GEYLANG,Apartment,14,RCR,99 years,1995.0,Resale,960000,1011.82,01 to 05,Mar-21
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,550000,398.27,21 to 25,Mar-21
SUITES @ EASTCOAST,UPPER EAST COAST ROAD,Condominium,15,OCR,freehold,,Resale,780000,570.49,01 to 05,Mar-21
THE WATERINA,LORONG 40 GEYLANG,Apartment,14,RCR,freehold,,Resale,1850000,1313.21,06 to 10,Mar-21
AURALIS,EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,720000,462.85,01 to 05,Mar-21
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,1150000,979.52,11 to 15,Mar-21
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,1,CCR,99 years,2005.0,Resale,2300000,1130.22,36 to 40,Mar-21
GLENDALE PARK,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1420000,1367.03,06 to 10,Mar-21
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,690000,516.67,01 to 05,Mar-21
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,2400000,1926.76,11 to 15,Mar-21
THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,1390000,925.7,01 to 05,Mar-21
PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 years,2011.0,Resale,560000,516.67,01 to 05,Mar-21
OXFORD SUITES,OXFORD ROAD,Apartment,8,RCR,freehold,,Resale,1280000,893.41,11 to 15,Mar-21
THOMSON V ONE,SIN MING ROAD,Apartment,20,RCR,99 years,2001.0,Resale,600000,430.56,01 to 05,Mar-21
SHELFORD MANSIONS,SHELFORD ROAD,Apartment,11,CCR,freehold,,Resale,3650000,3196.91,01 to 05,Mar-21
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,965000,925.7,06 to 10,Mar-21
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,820000,667.37,06 to 10,Mar-21
TIERRA VUE,ST. PATRICK'S ROAD,Condominium,15,OCR,freehold,,Resale,2180000,1216.33,01 to 05,Mar-21
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,821000,914.94,11 to 15,Mar-21
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,900000,710.42,06 to 10,Mar-21
JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years,2012.0,Resale,1250000,936.47,06 to 10,Mar-21
MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 years,1992.0,Resale,665000,936.47,01 to 05,Mar-21
E MAISON,BRADDELL ROAD,Apartment,13,OCR,freehold,,Resale,800000,570.49,01 to 05,Mar-21
8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 years,2008.0,Resale,1588000,1151.75,11 to 15,Mar-21
RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 years,2011.0,Resale,680000,613.55,01 to 05,Mar-21
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,27,OCR,99 years,1991.0,Resale,880000,1173.28,01 to 05,Mar-21
BUTTERWORTH 8,BUTTERWORTH LANE,Condominium,15,RCR,freehold,,Resale,2030000,1345.5,06 to 10,Mar-21
SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 years,2013.0,Resale,1242000,678.13,16 to 20,Mar-21
MIDWOOD,HILLVIEW RISE,Condominium,23,OCR,99 years,2018.0,New Sale,1123000,688.9,06 to 10,Mar-21
THE AVENIR,RIVER VALLEY CLOSE,Condominium,9,CCR,freehold,,New Sale,4760000,1571.54,06 to 10,Mar-21
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,New Sale,1028000,527.44,16 to 20,Mar-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,New Sale,1374000,1011.82,01 to 05,Mar-21
CLEMENTI PARK,SUNSET WAY,Condominium,21,OCR,freehold,,Resale,1700000,1399.32,01 to 05,Mar-21
OCEAN FRONT SUITES,JALAN LOYANG BESAR,Apartment,17,OCR,other,1937.0,Resale,1370000,1097.93,01 to 05,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,1265000,742.72,01 to 05,Mar-21
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,freehold,,Resale,1290000,635.08,06 to 10,Mar-21
ROCHELLE AT NEWTON,KENG LEE ROAD,Condominium,11,CCR,99 years,2008.0,Resale,2380000,1539.25,11 to 15,Mar-21
